filename,folder,source_type,risk_category,wiki_concepts,tags,confidence,reason
Jailbreak_tricks_Discords_new_chatbot_into_sharing_napalm_and_meth_instructions_TechCrunch_ec6b1403.md,AI Safety,blog_post,misuse,,jailbreaking,low,tags=1
Jason_Matheny_-_Profile_8006f865.md,AI Safety,blog_post,misalignment,,,low,default rules
Jeffrey_Lee_faf2d73f.md,AI Safety,blog_post,misalignment,,,low,default rules
John_D._Morley_b9ea4300.md,AI Safety,blog_post,misalignment,,regulation,low,tags=1
John_Schulman_OpenAI_Cofounder_-_Reasoning_RLHF_Plan_for_2027_AGI_edd8fc6e.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations|Existential Risk & Superintelligence,RLHF|AGI|OpenAI,high,"concepts=RLHF & Its Limitations,Existential Risk & Superintelligence; tags=3"
Jordan_Despanie_-_Publications_994e2c89.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Keep_The_Future_Human_c11277d1.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,superintelligence|AGI,high,concepts=Existential Risk & Superintelligence; tags=2
Keep_the_Future_Human__AnthonyAguirre__5March2025_b5deba72.pdf,AI Safety,research_paper,misalignment,Existential Risk & Superintelligence,superintelligence|AGI,high,concepts=Existential Risk & Superintelligence; tags=2
Key_Components_of_an_RSP_de1a0076.md,RSP,policy,structural,AI Evaluations & Benchmarks|Responsible Scaling Policies,dangerous-capabilities|RSP|responsible-scaling|METR,high,"concepts=AI Evaluations & Benchmarks,Responsible Scaling Policies; tags=4"
Knowledge_Unlearning_for_Mitigating_Privacy_Risks_in_Language_Models_69ee0583.md,AI Risk Mitigation,blog_post,misalignment,Pretraining Data Filtering,unlearning,medium,concepts=Pretraining Data Filtering; tags=1
KullbackLeibler_divergence_-_Wikipedia_f9bd8e99.md,AI Safety,blog_post,misalignment,,,low,default rules
Kyle_Brady_-_Publications_4421dc4b.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
LAB-Bench_Measuring_Capabilities_of_Language_Models_for_Biology_Research_FutureHouse_71d8629b.md,AI Safety,blog_post,misalignment,,,low,default rules
LESSWRONG_19a05258.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations,,medium,concepts=RLHF & Its Limitations
LESSWRONG_318b69cf.md,AI Safety,blog_post,misalignment,,,low,default rules
LESSWRONG_3b7cdedf.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations,,medium,concepts=RLHF & Its Limitations
LESSWRONG_6e8fb49c.md,AI Safety,blog_post,misalignment,,OpenAI,low,tags=1
LESSWRONG_cc1eed09.md,AI Safety,blog_post,misalignment,,,low,default rules
LESSWRONG_d0aef86c.md,AI Safety,blog_post,misalignment,,,low,default rules
LESSWRONG_ee64d13a.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,AGI,medium,concepts=Existential Risk & Superintelligence; tags=1
LESSWRONG_f945d0f4.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,AGI|DeepMind,high,concepts=Existential Risk & Superintelligence; tags=2
LESSWRONG_f9826af5.md,AI Safety,blog_post,misalignment,,,low,default rules
LLM_CTF_SaTML_2024_97b1f306.md,AI Safety,blog_post,misalignment,,prompt-injection,low,tags=1
Landauers_principle_-_Wikipedia_1e0a71ad.md,AI Safety,blog_post,misalignment,,,low,default rules
Language_Model_Pilot_Report_409a066e.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,METR,medium,concepts=AI Evaluations & Benchmarks; tags=1
Learning_to_summarize_with_human_feedback_f59a43c5.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations,,medium,concepts=RLHF & Its Limitations
Life_Expectancy_5bd162df.md,AI Safety,blog_post,misalignment,,,low,default rules
Locating_and_Editing_Factual_Associations_in_GPT_c596305d.md,AI Safety,blog_post,misalignment,,,low,default rules
Location_Verification_for_AI_Chips_Institute_for_AI_Policy_and_Strategy_de9e0639.md,AI Safety,blog_post,misalignment,,governance,low,tags=1
Lump_of_labour_fallacy_-_Wikipedia_be3ef851.md,AI Safety,blog_post,misalignment,,,low,default rules
MATS_Research_fb0dee66.md,AI Safety,blog_post,misalignment,,governance,low,tags=1
METR_516949eb.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,evaluations|autonomous-systems|METR,high,concepts=AI Evaluations & Benchmarks; tags=3
Malaria_vaccine_-_Wikipedia_a81e30ed.md,AI Safety,blog_post,misalignment,,,low,default rules
Many-shot_jailbreaking_0db64752.md,AI Safety,blog_post,misuse,,Anthropic|interpretability|jailbreaking,medium,tags=3
Mapping_the_Mind_of_a_Large_Language_Model_498fcf79.md,AI Safety,blog_post,misalignment,,Anthropic,low,tags=1
Mechanistic_anomaly_detection_and_ELK_d034dfdf.md,Model-level Mitigation,blog_post,misalignment,Weak-to-Strong Generalization,ARC,medium,concepts=Weak-to-Strong Generalization; tags=1
Model_Safety_Bug_Bounty_Program_Claude_Help_Center_52e7c661.md,AI Risk Mitigation,blog_post,misuse,RLHF & Its Limitations,jailbreaking,medium,concepts=RLHF & Its Limitations; tags=1
Modifying_LLM_Beliefs_with_Synthetic_Document_Finetuning_6e2b5ec5.md,AI Safety,blog_post,misalignment,,Anthropic,low,tags=1
Monitor_An_AI-Driven_Observability_Interface--_--_283a18bf.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Multi-Agent_Risks_from_Advanced_AI_3503a57f.md,Multi-Agent,blog_post,mistakes,Agentic Misalignment,multi-agent,medium,concepts=Agentic Misalignment; tags=1
Multi-Agent_Risks_from_Advanced_AI_f1e393e5.md,Multi-Agent,blog_post,misalignment,Agentic Misalignment,multi-agent,medium,concepts=Agentic Misalignment; tags=1
New_Tests_Reveal_AIs_Capacity_for_Deception_c3258560.md,Evaluation,blog_post,misalignment,Scalable Oversight|Alignment Faking & Scheming|AI Evaluations & Benchmarks,deception,medium,"concepts=Scalable Oversight,Alignment Faking & Scheming,AI Evaluations & Benchmarks; tags=1"
New_report_Scheming_AIs_Will_AIs_fake_alignment_during_training_in_order_to_get_power_-_Joe_Carlsmit_71b7a799.md,AI Alignment,blog_post,misalignment,Alignment Faking & Scheming,scheming|deception|deceptive-alignment,high,concepts=Alignment Faking & Scheming; tags=3
News_0a2a5014.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,benchmarks,medium,concepts=AI Evaluations & Benchmarks; tags=1
Noah_R._Feldman_-_Harvard_Law_School_c07b20cb.md,AI Safety,blog_post,misalignment,,governance,low,tags=1
Nobodys_on_the_ball_on_AGI_alignment_4021700d.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,AGI,medium,concepts=Existential Risk & Superintelligence; tags=1
Official_Leaderboards_cf42ebe4.md,AI Safety,blog_post,misalignment,,,low,default rules
OpenAI_Model_Spec_49ff3771.md,AI Safety,blog_post,misalignment,,OpenAI,low,tags=1
OpenAI_dissolves_team_focused_on_long-term_AI_risks_less_than_one_year_after_announcing_it_31baf3f0.md,Model-level Mitigation,blog_post,misalignment,Weak-to-Strong Generalization,superalignment|OpenAI,high,concepts=Weak-to-Strong Generalization; tags=2
Optogenetics_-_Wikipedia_2e1a262a.md,AI Safety,blog_post,misalignment,,,low,default rules
Order_statistic_-_Wikipedia_8127eb5f.md,AI Safety,blog_post,misalignment,,,low,default rules
Paul_Christiano_471e48d9.md,AI Safety,blog_post,misalignment,,OpenAI|ARC,medium,tags=2
Paul_Christiano_Current_Work_in_AI_Alignment_Effective_Altruism_c4e0b2b8.md,AI Safety,blog_post,misalignment,,OpenAI,low,tags=1
Pause_Giant_AI_Experiments_An_Open_Letter_-_Future_of_Life_Institute_d6f15827.md,AI Safety,petition,misalignment,,,low,default rules
Philanthropically_Supported_Research_1363e6e2.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations,Anthropic,medium,concepts=RLHF & Its Limitations; tags=1
Pioneering_threat_assessment_and_mitigation_for_AI_systems_75cd7726.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Political_Declaration_on_Responsible_Military_Use_of_Artificial_Intelligence_and_Autonomy_-_United_S_bf03e86d.md,AI Safety,blog_post,misalignment,,,low,default rules
Population_Growth_0b6d4e35.md,AI Safety,blog_post,misalignment,,,low,default rules
Pre-Deployment_evaluation_of_OpenAIs_o1_model_AISI_Work_2d942ebd.md,Evaluation,benchmark,misalignment,AI Evaluations & Benchmarks,evaluations|OpenAI,high,concepts=AI Evaluations & Benchmarks; tags=2
Pre-agriculture_gender_relations_seem_bad_b40c36f1.md,AI Safety,blog_post,misalignment,,,low,default rules
Pre-deployment_evaluation_of_Anthropics_upgraded_Claude_3.5_Sonnet_AISI_Work_6dc8cac0.md,Evaluation,benchmark,misalignment,AI Evaluations & Benchmarks,evaluations|Anthropic,high,concepts=AI Evaluations & Benchmarks; tags=2
Pretraining_Data_Filtering_for_Open-Weight_AI_Safety_9659f2e8.md,AI Risk Mitigation,blog_post,misalignment,Pretraining Data Filtering,pretraining-filtering|data-filtering|open-weight,high,concepts=Pretraining Data Filtering; tags=3
Prioritized_Training_on_Points_that_are_Learnable_Worth_Learning_and_not_yet_Learnt_fbf9225e.md,AI Risk Mitigation,blog_post,misalignment,Scalable Oversight,,medium,concepts=Scalable Oversight
Privacy_Notice_80f27f3c.md,AI Safety,blog_post,misalignment,,,low,default rules
Proximal_Policy_OptimizationÂ_900da9d4.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations,PPO|OpenAI,high,concepts=RLHF & Its Limitations; tags=2
Publications_48c622e6.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations,DeepMind|Google,high,concepts=RLHF & Its Limitations; tags=2
Putting_up_Bumpers_0d0b4e54.md,AI Safety,blog_post,misalignment,,Anthropic,low,tags=1
Quantum_tunnelling_-_Wikipedia_fd74ba02.md,AI Safety,blog_post,misalignment,,,low,default rules
RAND_Global_and_Emerging_Risks_28d3042c.md,AI Safety,blog_post,misalignment,,catastrophic-risk,low,tags=1
RAND_Provides_Objective_Research_Services_and_Public_Policy_Analysis_1dbe37c2.md,AI Safety,blog_post,misalignment,,,low,default rules
RAND_RRA2849-1_62681a1f.pdf,AI Risk Mitigation,research_paper,misalignment,,,low,default rules
RAND_RRA2977-2_50bfade5.pdf,Evaluation,research_paper,misalignment,Existential Risk & Superintelligence|AI Evaluations & Benchmarks,red-teaming|bioweapons|regulation,high,"concepts=Existential Risk & Superintelligence,AI Evaluations & Benchmarks; tags=3"
RAND_WRA3056-1_608d53e9.pdf,AI Risk Mitigation,research_paper,misalignment,,governance,low,tags=1
Reasons_that_AI_Can_Help_with_AI_Governance_56a98a0a.md,AI Safety,blog_post,misalignment,,governance,low,tags=1
Redirecting..._3be50887.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,evaluations,medium,concepts=AI Evaluations & Benchmarks; tags=1
Redirecting_143339e8.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Redirecting_24880147.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Redirecting_a7f555e0.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Redirecting_ba0fe928.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Redirecting_fb5699a0.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Reinforcement_Learning_from_Human_Feedback_RLHF_A_Simple_Explainer_e0204920.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations,RLHF,medium,concepts=RLHF & Its Limitations; tags=1
Related_posts_28280009.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Reliable_Shared_Web_Hosting_Services_f7cc5afa.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations,,medium,concepts=RLHF & Its Limitations
Revisiting_Al-Qaidas_Anthrax_Program_-_Combating_Terrorism_Center_at_West_Point_3aeea483.md,AI Risk Mitigation,blog_post,misalignment,Scalable Oversight,,medium,concepts=Scalable Oversight
Reward_Hacking_in_Reinforcement_Learning_d6a56447.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations,reward-hacking,medium,concepts=RLHF & Its Limitations; tags=1
Rights_and_Permissions_dd3789cd.md,AI Safety,blog_post,misalignment,,,low,default rules
Roth_v._United_States_-_Wikipedia_82972646.md,AI Safety,blog_post,misalignment,,,low,default rules
Sabotage_evaluations_for_frontier_models_a3405563.md,Evaluation,benchmark,misalignment,AI Evaluations & Benchmarks,evaluations|Anthropic,high,concepts=AI Evaluations & Benchmarks; tags=2
Safety_engineering_target_selection_and_alignment_theory_-_Machine_Intelligence_Research_Institute_8e289f7b.md,AI Safety,blog_post,misalignment,,,low,default rules
Sandbagging_QA_with_Note_Chain-of-Thought_Transcript_Anti-Scheming_c45ec4f2.md,AI Alignment,blog_post,misalignment,Alignment Faking & Scheming,scheming|sandbagging|chain-of-thought,high,concepts=Alignment Faking & Scheming; tags=3
Sarah_L._Gebauer_-_Publications_8a417304.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Scaling_tacit_knowledge_8d8f5a60.md,AI Safety,blog_post,misalignment,,,low,default rules
Secretary_of_State_speech_at_CogX_Festival_3ceb7a55.md,AI Safety,blog_post,misalignment,,,low,default rules
Sensitive_compartmented_information_facility_-_Wikipedia_f4baae85.md,AI Safety,blog_post,misalignment,,,low,default rules
Shell_Games_Control_Protocols_for_Adversarial_AI_Agents_bd1bfcb4.md,AI Safety,blog_post,misalignment,Agentic Misalignment|Existential Risk & Superintelligence,tool-use|adversarial,high,"concepts=Agentic Misalignment,Existential Risk & Superintelligence; tags=2"
Short_letter_to_my_11-year-old_self_174af071.md,AI Safety,blog_post,misalignment,,,low,default rules
Shutdown_resistance_in_reasoning_models_62f31ec4.md,AI Safety,blog_post,misalignment,,shutdown-resistance|OpenAI,medium,tags=2
Simple_probes_can_catch_sleeper_agents_b6ca1938.md,AI Alignment,blog_post,misalignment,Alignment Faking & Scheming,deception|sleeper-agents|Anthropic,high,concepts=Alignment Faking & Scheming; tags=3
Sleeper_Agents_Training_Deceptive_LLMs_that_Persist_Through_Safety_Training_2dc73751.md,AI Alignment,blog_post,misalignment,Alignment Faking & Scheming,deception|sleeper-agents|Anthropic,high,concepts=Alignment Faking & Scheming; tags=3
Sleeper_Agents_Training_Deceptive_LLMs_that_Persist_Through_Safety_Training_7defe513.md,AI Alignment,blog_post,misalignment,Alignment Faking & Scheming,deception|sleeper-agents|Anthropic|interpretability,high,concepts=Alignment Faking & Scheming; tags=4
Smallpox_8f3d0739.md,AI Safety,blog_post,misalignment,,,low,default rules
Smart_contract_-_Wikipedia_a859c087.md,AI Safety,blog_post,misalignment,,,low,default rules
Social_Security_debate_in_the_United_States_-_Wikipedia_75e533ce.md,AI Risk Mitigation,blog_post,misalignment,Scalable Oversight,debate,medium,concepts=Scalable Oversight; tags=1
Socialist_calculation_debate_-_Wikipedia_23def74e.md,AI Risk Mitigation,blog_post,misalignment,Scalable Oversight,debate,medium,concepts=Scalable Oversight; tags=1
Sortition_-_Wikipedia_38461114.md,AI Safety,blog_post,misalignment,,,low,default rules
Specification_gaming_the_flip_side_of_AI_ingenuity_20cfc7f7.md,AI Safety,blog_post,misalignment,,DeepMind|Google,medium,tags=2
Squiggle_Maximizer_formerly_Paperclip_maximizer_9bc9007c.md,AI Safety,blog_post,misalignment,,,low,default rules
Statement_on_AI_Risk_CAIS_0b044cb6.md,AI Safety,petition,misalignment,Existential Risk & Superintelligence,extinction,medium,concepts=Existential Risk & Superintelligence; tags=1
Statement_on_AI_Risk_CAIS_3943efdd.md,AI Safety,petition,misalignment,Existential Risk & Superintelligence,extinction,medium,concepts=Existential Risk & Superintelligence; tags=1
Statement_on_AI_Risk_CAIS_a5ac984d.md,AI Safety,petition,misalignment,Existential Risk & Superintelligence,extinction,medium,concepts=Existential Risk & Superintelligence; tags=1
Statistical_hypothesis_test_-_Wikipedia_391af5d7.md,AI Safety,blog_post,misalignment,,,low,default rules
Steering_at_the_Frontier_Extending_the_Power_of_Prompting_-_Microsoft_Research_aacb2dd9.md,AI Safety,blog_post,misalignment,,,low,default rules
Stress_Testing_Deliberative_Alignment_for_Anti-Scheming_Training_Apollo_Research_238004f9.md,Evaluation,blog_post,misalignment,Alignment Faking & Scheming|AI Evaluations & Benchmarks,scheming|deliberative-alignment|OpenAI,high,"concepts=Alignment Faking & Scheming,AI Evaluations & Benchmarks; tags=3"
Subscribe_to_Epoch_AI_0f65568e.md,AI Safety,blog_post,misalignment,,,low,default rules
Sunishchal_Dev_-_Profile_24892b97.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,evaluations|benchmarks,high,concepts=AI Evaluations & Benchmarks; tags=2
Sydney_Brenner_-_Wikipedia_68c339bd.md,AI Safety,blog_post,misalignment,,,low,default rules
Synthetic_data_real_harm_190b80b8.md,AI Safety,blog_post,misalignment,,,low,default rules
Synthetic_virology_the_experts_speak_-_Nature_Biotechnology_bad50acf.md,AI Risk Mitigation,blog_post,misalignment,Scalable Oversight,debate,medium,concepts=Scalable Oversight; tags=1
TIME100_AI_2024_Yoshua_Bengio_1464b780.md,AI Safety,blog_post,misalignment,,,low,default rules
Technological_singularity_-_Wikipedia_cbb7a8a9.md,AI Safety,blog_post,misalignment,,,low,default rules
The_AI_Revolution_Our_Immortality_or_Extinction_96160d68.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,extinction,medium,concepts=Existential Risk & Superintelligence; tags=1
The_Amyloid-β_Pathway_in_Alzheimers_Disease_-_Molecular_Psychiatry_6e1c20d8.md,AI Safety,blog_post,misalignment,,,low,default rules
The_Art_of_the_Deal_-_Wikipedia_b79326db.md,AI Safety,blog_post,misalignment,,,low,default rules
The_Association_between_Subjective_Well-being_and_Regime_Type_across_78_countries_the_moderating_rol_d6fc7d31.md,AI Safety,blog_post,misalignment,,,low,default rules
The_Better_Angels_of_Our_Nature_-_Wikipedia_c0162d30.md,AI Safety,blog_post,misalignment,,,low,default rules
The_Bread_and_Butter_Problem_in_AI_Policy_b0ce0b11.md,AI Safety,blog_post,misalignment,,,low,default rules
The_Building_Blocks_of_Interpretability_1d4292ce.md,AI Safety,blog_post,misalignment,,interpretability,low,tags=1
The_CIFAR-10_dataset_857ecb19.md,AI Safety,blog_post,misalignment,,,low,default rules
The_Computational_Democracy_Project_f509dda6.md,AI Safety,blog_post,misalignment,,open-source,low,tags=1
The_Duplicator_e65d0141.md,AI Safety,blog_post,misalignment,,,low,default rules
The_End_of_History_and_the_Last_Man_-_Wikipedia_c764d2ce.md,AI Safety,blog_post,misalignment,,,low,default rules
The_Goddess_of_Everything_Else_ab84d811.md,AI Safety,blog_post,misalignment,,,low,default rules
The_Great_Illusion_-_Wikipedia_bf74fee6.md,AI Safety,blog_post,misalignment,,,low,default rules
The_Precipice_e8e6b56d.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,existential-risk,medium,concepts=Existential Risk & Superintelligence; tags=1
The_U.S._Public_Wants_Regulation_or_Prohibition_of_ExpertLevel_and_Superhuman_AI_-_Future_of_Life_In_c40e1edd.md,AI Safety,blog_post,misalignment,,regulation,low,tags=1
The_WMDP_Benchmark_Measuring_and_Reducing_Malicious_Use_With_Unlearning_CAIS_15f3ed05.md,Evaluation,benchmark,misuse,Pretraining Data Filtering|AI Evaluations & Benchmarks,unlearning|benchmarks,high,"concepts=Pretraining Data Filtering,AI Evaluations & Benchmarks; tags=2"
The_case_for_taking_AI_seriously_as_a_threat_to_humanity_3004f8c2.md,AI Safety,blog_post,misalignment,,,low,default rules
The_costs_of_caution_a3459305.md,AI Safety,blog_post,misalignment,,,low,default rules
The_lifesaving_Nobel_Prize-winning_discovery_that_almost_didnt_happen_7a287508.md,AI Safety,blog_post,misalignment,,,low,default rules
The_most_important_century_blog_post_series_fd178cb0.md,AI Safety,blog_post,misalignment,,,low,default rules
The_near-term_impact_of_AI_on_the_cyber_threat_ed1654d4.md,AI Safety,blog_post,misalignment,,,low,default rules
The_real_reason_AI_benchmarks_havenât_reflected_economic_impacts_5991a9fe.md,Evaluation,benchmark,misalignment,AI Evaluations & Benchmarks,benchmarks,medium,concepts=AI Evaluations & Benchmarks; tags=1
The_world_is_awful._The_world_is_much_better._The_world_can_be_much_better._fafa44ac.md,AI Safety,blog_post,misalignment,,,low,default rules
Three-body_problem_-_Wikipedia_f2d9a2b9.md,AI Safety,blog_post,misalignment,,,low,default rules
Three_rules_for_technological_fixes_-_Nature_92877fb3.md,AI Safety,blog_post,misalignment,,,low,default rules
Tim_Huas_Personal_Website_15d671dc.md,AI Safety,blog_post,misalignment,,,low,default rules
Tit_for_tat_-_Wikipedia_99757fe1.md,AI Safety,blog_post,misalignment,,,low,default rules
Towards_Monosemanticity_Decomposing_Language_Models_With_Dictionary_Learning_eaa33128.md,AI Safety,blog_post,misalignment,,interpretability,low,tags=1
Towards_Understanding_Sycophancy_in_Language_Models_26016be3.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations,sycophancy|RLHF|Anthropic,high,concepts=RLHF & Its Limitations; tags=3
Two_US_lawyers_fined_for_submitting_fake_court_citations_from_ChatGPT_c4a26fae.md,AI Safety,blog_post,misalignment,,,low,default rules
U.S._Commerce_Secretary_Gina_Raimondo_Announces_Expansion_of_U.S._AI_Safety_Institute_Leadership_Tea_ead0c98f.md,AI Safety,blog_post,misalignment,,,low,default rules
U.S._Pushes_for_Less_AI_Regulation_at_Paris_Summit_e783d383.md,AI Safety,blog_post,misalignment,,regulation,low,tags=1
US_UK_AI20Safety20Institute_20December_Publication-OpenAIo1_5e9fc56d.pdf,AI Risk Mitigation,research_paper,misalignment,,OpenAI,low,tags=1
United_States_Armed_Forces_-_Wikipedia_f075ee33.md,AI Safety,blog_post,misalignment,,,low,default rules
United_States_government_role_in_civil_aviation_-_Wikipedia_56879b18.md,AI Safety,blog_post,misalignment,,,low,default rules
Unlearning_Bias_in_Language_Models_by_Partitioning_Gradients_148b0a55.md,AI Risk Mitigation,blog_post,misalignment,Pretraining Data Filtering,unlearning,medium,concepts=Pretraining Data Filtering; tags=1
Updated_October_7_Semiconductor_Export_Controls_c314c235.md,AI Safety,blog_post,misalignment,,,low,default rules
Updating_the_Frontier_Safety_Framework_26f849eb.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,AGI|DeepMind|Google,high,concepts=Existential Risk & Superintelligence; tags=3
Vending-Bench_Testing_long-term_coherence_in_agents_Andon_Labs_fe7f5bac.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Virology_Capabilities_Test_430289e6.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,benchmarks,medium,concepts=AI Evaluations & Benchmarks; tags=1
WebArena-x_8490816c.md,Evaluation,blog_post,misalignment,Agentic Misalignment|AI Evaluations & Benchmarks,evaluations|benchmarks|autonomous-systems,high,"concepts=Agentic Misalignment,AI Evaluations & Benchmarks; tags=3"
What_Is_DeepSeek_the_New_Chinese_OpenAI_Rival_8399055d.md,AI Safety,blog_post,misalignment,,OpenAI,low,tags=1
What_do_coherence_arguments_imply_about_the_behavior_of_advanced_AI_284a99f9.md,AI Safety,blog_post,misalignment,,,low,default rules
What_is_AI_alignment_510ee1d0.md,AI Safety,educational,misalignment,,,low,default rules
What_is_AI_alignment_c1a9b2f0.md,AI Safety,blog_post,misalignment,,,low,default rules
What_is_Constitutional_AI_c83cc433.md,Model-level Mitigation,blog_post,misalignment,Constitutional AI (RLAIF),Constitutional-AI,medium,concepts=Constitutional AI (RLAIF); tags=1
What_is_Recursive_Reward_Modelling_b2db8f27.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations,RLHF|reward-modeling|recursive-reward-modeling,high,concepts=RLHF & Its Limitations; tags=3
What_is_faithful_chain-of-thought_reasoning_and_why_is_it_useful_for_AI_safety_4f1c4c90.md,AI Safety,blog_post,misalignment,,chain-of-thought,low,tags=1
What_is_machine_unlearning_and_why_is_it_useful_989a904b.md,AI Risk Mitigation,blog_post,misalignment,Pretraining Data Filtering,unlearning,medium,concepts=Pretraining Data Filtering; tags=1
What_is_supervised_fine-tuning_ea12b59d.md,AI Safety,blog_post,misalignment,,,low,default rules
What_is_the_alignment_problem_c4c79e06.md,AI Safety,blog_post,misalignment,,,low,default rules
What_normal_Americans_not_AI_companies_want_for_AI_ce23b483.md,AI Safety,blog_post,misalignment,,regulation,low,tags=1
Who_Is_Open_to_Authoritarian_Governance_within_Western_Democracies_Perspectives_on_Politics_Cambridg_6478fd10.md,RSP,blog_post,misalignment,Weak-to-Strong Generalization|Responsible Scaling Policies,RSP|governance,high,"concepts=Weak-to-Strong Generalization,Responsible Scaling Policies; tags=2"
Whole-genome_risk_prediction_of_common_diseases_in_human_preimplantation_embryos_-_Nature_Medicine_085889be.md,AI Safety,blog_post,misalignment,,,low,default rules
Why_AI_alignment_could_be_hard_with_modern_deep_learning_fadf7c15.md,AI Safety,blog_post,misalignment,,,low,default rules
Why_Arms_Control_Is_So_Rare_American_Political_Science_Review_Cambridge_Core_ff5c046a.md,AI Safety,blog_post,misalignment,,,low,default rules
Why_Does_Ozempic_Cure_All_Diseases_71f051a8.md,AI Safety,blog_post,misalignment,,,low,default rules
Why_Im_Leaving_OpenAI_and_What_Im_Doing_Next_42a87e0f.md,AI Safety,blog_post,misalignment,,OpenAI,low,tags=1
Why_Im_optimistic_about_our_alignment_approach_3063882f.md,AI Safety,blog_post,misalignment,,OpenAI,low,tags=1
Why_Would_AI_Aim_To_Defeat_Humanity_efd7b429.md,AI Safety,blog_post,misalignment,,deception,low,tags=1
Why_the_Godfather_of_A.I._Fears_What_Hes_Built_0d17111a.md,AI Safety,blog_post,misalignment,,,low,default rules
WikipediaManual_of_Style_-_Wikipedia_b6776631.md,AI Safety,blog_post,misalignment,,,low,default rules
Yoshua_Bengio_How_Rogue_AIs_may_Arise_ddf1395b.md,AI Risk Mitigation,blog_post,misalignment,Scalable Oversight|Existential Risk & Superintelligence,governance|regulation,high,"concepts=Scalable Oversight,Existential Risk & Superintelligence; tags=2"
arxiv_1207.4708_fa33d71d.pdf,Evaluation,research_paper,misalignment,AI Evaluations & Benchmarks,evaluations,medium,concepts=AI Evaluations & Benchmarks; tags=1
arxiv_1306.5709_20499d5f.pdf,AI Risk Mitigation,research_paper,misalignment,,,low,default rules
arxiv_1409.0575_06aa950e.pdf,Evaluation,research_paper,misalignment,AI Evaluations & Benchmarks,benchmarks,medium,concepts=AI Evaluations & Benchmarks; tags=1
arxiv_1511.06732_91752f74.pdf,Evaluation,research_paper,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
arxiv_1601.04468_51b794ae.pdf,AI Risk Mitigation,research_paper,misalignment,,,low,default rules
arxiv_1607.07086_9200daa4.pdf,AI Risk Mitigation,research_paper,misalignment,,,low,default rules
arxiv_1612.03651_af35910d.pdf,Evaluation,research_paper,misalignment,AI Evaluations & Benchmarks,benchmarks,medium,concepts=AI Evaluations & Benchmarks; tags=1
arxiv_1705.08439_d6456a25.pdf,AI Risk Mitigation,research_paper,misalignment,,,low,default rules
arxiv_1705.08807_e98d2a63.pdf,AI Risk Mitigation,research_paper,misalignment,,,low,default rules
