filename,old_folder,new_folder,source_type,wiki_concepts,tags,risk_category,confidence,moved
Sydney_Brenner_-_Wikipedia_68c339bd.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,,misalignment,low,yes
Synthetic_data_real_harm_190b80b8.md,AI Safety,Model-level Mitigation,blog_post,RLHF & Its Limitations|Constitutional AI (RLAIF),governance,mistakes,low,yes
TIME100_AI_2024_Yoshua_Bengio_1464b780.md,AI Safety,RSP,blog_post,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence|Responsible Scaling Policies|Agentic Misalignment,biorisk|bioweapons|cyber-offense|disinformation|RSP|regulation|existential-risk|catastrophic-risk|autonomous-systems,misuse,medium,yes
Technological_singularity_-_Wikipedia_cbb7a8a9.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight|Existential Risk & Superintelligence,superintelligence|intelligence-explosion|extinction,misalignment,medium,yes
The_Amyloid-β_Pathway_in_Alzheimers_Disease_-_Molecular_Psychiatry_6e1c20d8.md,AI Safety,RSP,blog_post,RLHF & Its Limitations|Scalable Oversight|AI Evaluations & Benchmarks|Responsible Scaling Policies,evaluations|RSP|regulation,misalignment,medium,yes
The_Art_of_the_Deal_-_Wikipedia_b79326db.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,,misalignment,low,yes
The_Association_between_Subjective_Well-being_and_Regime_Type_across_78_countries_the_moderating_rol_d6fc7d31.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|AI Evaluations & Benchmarks,evaluations,misalignment,low,yes
The_Better_Angels_of_Our_Nature_-_Wikipedia_c0162d30.md,AI Safety,RSP,blog_post,Responsible Scaling Policies,RSP,misalignment,low,yes
The_Bread_and_Butter_Problem_in_AI_Policy_b0ce0b11.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight,governance|regulation,misalignment,medium,yes
The_Building_Blocks_of_Interpretability_1d4292ce.md,AI Safety,Evaluation,blog_post,AI Evaluations & Benchmarks,interpretability,misalignment,low,yes
The_CIFAR-10_dataset_857ecb19.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
The_Computational_Democracy_Project_f509dda6.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,open-source,misalignment,low,yes
The_Duplicator_e65d0141.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence,x-risk|AGI,misalignment,high,yes
The_End_of_History_and_the_Last_Man_-_Wikipedia_c764d2ce.md,AI Safety,Evaluation,blog_post,AI Evaluations & Benchmarks,,misalignment,low,yes
The_Goddess_of_Everything_Else_ab84d811.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,extinction,misalignment,low,no
The_Great_Illusion_-_Wikipedia_bf74fee6.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,,misalignment,low,no
The_U.S._Public_Wants_Regulation_or_Prohibition_of_ExpertLevel_and_Superhuman_AI_-_Future_of_Life_In_c40e1edd.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence,regulation|extinction,structural,medium,yes
The_case_for_taking_AI_seriously_as_a_threat_to_humanity_3004f8c2.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,disinformation|catastrophic-risk|OpenAI|DeepMind|Google,misuse,medium,no
The_costs_of_caution_a3459305.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,,misalignment,low,no
The_lifesaving_Nobel_Prize-winning_discovery_that_almost_didnt_happen_7a287508.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
The_most_important_century_blog_post_series_fd178cb0.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence,x-risk|AGI,misalignment,high,yes
The_near-term_impact_of_AI_on_the_cyber_threat_ed1654d4.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|Scalable Oversight|AI Evaluations & Benchmarks,,misuse,low,yes
The_world_is_awful._The_world_is_much_better._The_world_can_be_much_better._fafa44ac.md,AI Safety,RSP,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence|Responsible Scaling Policies,RSP,misalignment,low,yes
Three-body_problem_-_Wikipedia_f2d9a2b9.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Three_rules_for_technological_fixes_-_Nature_92877fb3.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Scalable Oversight,regulation,misalignment,low,yes
Tim_Huas_Personal_Website_15d671dc.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,,misalignment,low,no
Tit_for_tat_-_Wikipedia_99757fe1.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|AI Evaluations & Benchmarks|Agentic Misalignment,adversarial,misalignment,low,yes
Towards_Monosemanticity_Decomposing_Language_Models_With_Dictionary_Learning_eaa33128.md,AI Safety,AI Risk Mitigation,research_paper,Existential Risk & Superintelligence,interpretability|mechanistic-interpretability|Anthropic,misalignment,high,yes
Two_US_lawyers_fined_for_submitting_fake_court_citations_from_ChatGPT_c4a26fae.md,AI Safety,AI Safety,blog_post,,OpenAI,mistakes,low,no
U.S._Commerce_Secretary_Gina_Raimondo_Announces_Expansion_of_U.S._AI_Safety_Institute_Leadership_Tea_ead0c98f.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence,,misalignment,low,yes
U.S._Pushes_for_Less_AI_Regulation_at_Paris_Summit_e783d383.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,disinformation|governance|regulation|catastrophic-risk|Anthropic|OpenAI,misuse,medium,yes
United_States_Armed_Forces_-_Wikipedia_f075ee33.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight,,misalignment,low,yes
United_States_government_role_in_civil_aviation_-_Wikipedia_56879b18.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,regulation,misalignment,low,yes
Updated_October_7_Semiconductor_Export_Controls_c314c235.md,AI Safety,AI Safety,blog_post,,regulation,misalignment,low,no
What_Is_DeepSeek_the_New_Chinese_OpenAI_Rival_8399055d.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,OpenAI|Meta|open-source,misalignment,medium,yes
What_do_coherence_arguments_imply_about_the_behavior_of_advanced_AI_284a99f9.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,,misalignment,low,yes
What_is_AI_alignment_510ee1d0.md,AI Safety,AI Risk Mitigation,educational,Scalable Oversight|Existential Risk & Superintelligence,governance|existential-risk|AGI|catastrophic-risk|extinction|jailbreaking,misuse,high,yes
What_is_AI_alignment_c1a9b2f0.md,AI Safety,AI Risk Mitigation,educational,Scalable Oversight|Existential Risk & Superintelligence,governance|existential-risk|AGI|catastrophic-risk|extinction|jailbreaking,misuse,high,yes
What_is_faithful_chain-of-thought_reasoning_and_why_is_it_useful_for_AI_safety_4f1c4c90.md,AI Safety,Evaluation,educational,Alignment Faking & Scheming|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,deception|sandbagging|reward-hacking|chain-of-thought|Anthropic|OpenAI|interpretability,misalignment|mistakes,high,yes
What_is_supervised_fine-tuning_ea12b59d.md,AI Safety,Evaluation,educational,RLHF & Its Limitations|Weak-to-Strong Generalization|AI Evaluations & Benchmarks,RLHF|superalignment|OpenAI,misalignment,high,yes
What_is_the_alignment_problem_c4c79e06.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|AI Evaluations & Benchmarks,OpenAI|DeepMind,misalignment,medium,yes
What_normal_Americans_not_AI_companies_want_for_AI_ce23b483.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence,disinformation|governance|regulation|Anthropic|OpenAI,misuse,medium,yes
Whole-genome_risk_prediction_of_common_diseases_in_human_preimplantation_embryos_-_Nature_Medicine_085889be.md,AI Safety,Evaluation,blog_post,AI Evaluations & Benchmarks,,misalignment,low,yes
Why_AI_alignment_could_be_hard_with_modern_deep_learning_fadf7c15.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight|Existential Risk & Superintelligence,sycophancy|x-risk|AGI,misalignment,high,yes
Why_Arms_Control_Is_So_Rare_American_Political_Science_Review_Cambridge_Core_ff5c046a.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,transparency,misalignment,low,yes
Why_Does_Ozempic_Cure_All_Diseases_71f051a8.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,,misalignment,low,no
Why_Im_Leaving_OpenAI_and_What_Im_Doing_Next_42a87e0f.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,red-teaming|model-card|governance|regulation|compute-governance|AGI|OpenAI,misalignment,medium,yes
Why_Im_optimistic_about_our_alignment_approach_3063882f.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|Agentic Misalignment|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,RLHF|evaluations|AGI|multi-agent|OpenAI,misalignment,medium,yes
Why_Would_AI_Aim_To_Defeat_Humanity_efd7b429.md,AI Safety,AI Alignment,blog_post,Alignment Faking & Scheming|Existential Risk & Superintelligence,deception|x-risk|AGI,misalignment,high,yes
Why_the_Godfather_of_A.I._Fears_What_Hes_Built_0d17111a.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,OpenAI|Google,misalignment,medium,no
WikipediaManual_of_Style_-_Wikipedia_b6776631.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Scalable Oversight,,misalignment,low,yes
Ω_34_67f38999.md,AI Safety,Evaluation,blog_post,Alignment Faking & Scheming|AI Evaluations & Benchmarks,sandbagging|chain-of-thought|open-weight,misuse|misalignment,medium,yes
Ω_36_b7040c0e.md,AI Safety,Model-level Mitigation,blog_post,RLHF & Its Limitations|Constitutional AI (RLAIF)|Alignment Faking & Scheming|Existential Risk & Superintelligence,scheming|deception|deceptive-alignment|sleeper-agents|sycophancy|RLHF|RLAIF|chain-of-thought|catastrophic-risk|robustness,misalignment,medium,yes
Ω_38_e12fdd1d.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Ω_3_f162cf38.md,AI Safety,Evaluation,blog_post,AI Evaluations & Benchmarks,catastrophic-risk,misalignment,low,yes
Ω_40_e075e628.md,AI Safety,RSP,blog_post,AI Evaluations & Benchmarks|Responsible Scaling Policies,evaluations|RSP|OpenAI|adversarial,misalignment,medium,yes
Ω_55_79d493f9.md,AI Safety,Evaluation,blog_post,Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,evaluations|catastrophic-risk|jailbreaking,misuse,medium,yes
