old_path,new_path,reason
AI Risk Mitigation/2025-05-announcement.html_43e2e365.md,05_Scalable-Oversight/2025-05-announcement.html_43e2e365.md,concept=Scalable Oversight
AI Risk Mitigation/Can_we_scale_human_feedback_for_complex_AI_tasks_An_intro_to_scalable_oversight._11db026c.md,15_Educational/Can_we_scale_human_feedback_for_complex_AI_tasks_An_intro_to_scalable_oversight._11db026c.md,source_type=educational
AI Risk Mitigation/Hidden_in_Plain_Text_Emergence_Mitigation_of_Steganographic_Collusion_in_LLMs_fdddd0f6.pdf,03_RLHF-and-Limitations/Hidden_in_Plain_Text_Emergence_Mitigation_of_Steganographic_Collusion_in_LLMs_fdddd0f6.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Future_of_AI_Course_BlueDot_Impact_cbe94e84.md,15_Educational/Future_of_AI_Course_BlueDot_Impact_cbe94e84.md,source_type=educational
AI Risk Mitigation/AI_Safety_Via_Market_Making_160a57c3.md,05_Scalable-Oversight/AI_Safety_Via_Market_Making_160a57c3.md,concept=Scalable Oversight
AI Risk Mitigation/With_Little_Power_Comes_Great_Responsibility_Despite_its_importance_to_experimental_design_5e9fd70b.pdf,03_RLHF-and-Limitations/With_Little_Power_Comes_Great_Responsibility_Despite_its_importance_to_experimental_design_5e9fd70b.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Continual_Learning_for_Grounded_Instruction_Generation_b21e1efe.pdf,03_RLHF-and-Limitations/Continual_Learning_for_Grounded_Instruction_Generation_b21e1efe.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/What_Failure_Looks_Like_758831b4.md,03_RLHF-and-Limitations/What_Failure_Looks_Like_758831b4.md,concept=RLHF
AI Risk Mitigation/AI_Alignment_57150640.md,15_Educational/AI_Alignment_57150640.md,source_type=educational
AI Risk Mitigation/Universal_and_Transferable_Adversarial_Attacks_on_Aligned_Language_Models_bd1d543e.pdf,03_RLHF-and-Limitations/Universal_and_Transferable_Adversarial_Attacks_on_Aligned_Language_Models_bd1d543e.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Malaria_vaccine_-_Wikipedia_a81e30ed.md,16_Governance-and-Policy/Malaria_vaccine_-_Wikipedia_a81e30ed.md,governance tag
AI Risk Mitigation/Measuring_Progress_on_Scalable_Oversight_for_Large_Language_Models_1eb4fb86.pdf,03_RLHF-and-Limitations/Measuring_Progress_on_Scalable_Oversight_for_Large_Language_Models_1eb4fb86.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/FMF_Announces_First-Of-Its-Kind_Information-Sharing_Agreement_-_Frontier_Model_Forum_0426045b.md,03_RLHF-and-Limitations/FMF_Announces_First-Of-Its-Kind_Information-Sharing_Agreement_-_Frontier_Model_Forum_0426045b.md,concept=RLHF
AI Risk Mitigation/Looking_Inward_Language_Models_Can_Learn_About_Themselves_BY_Introspection_cb17e218.pdf,14_Interpretability/Looking_Inward_Language_Models_Can_Learn_About_Themselves_BY_Introspection_cb17e218.pdf,interp filename=Looking_Inward_Language_Models_Can_Learn_About_Themselves
AI Risk Mitigation/Phi-4_Technical_Report_Marah_Abdin_Ronen_Eldan_6420b30c.pdf,03_RLHF-and-Limitations/Phi-4_Technical_Report_Marah_Abdin_Ronen_Eldan_6420b30c.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Reinforcement_Learning_from_Human_Feedback_RLHF_A_Simple_Explainer_e0204920.md,03_RLHF-and-Limitations/Reinforcement_Learning_from_Human_Feedback_RLHF_A_Simple_Explainer_e0204920.md,concept=RLHF
AI Risk Mitigation/Reliable_Shared_Web_Hosting_Services_f7cc5afa.md,03_RLHF-and-Limitations/Reliable_Shared_Web_Hosting_Services_f7cc5afa.md,concept=RLHF
AI Risk Mitigation/Dynamic_Planning_in_Open-Ended_Dialogue_using_Reinforcement_Learning_58e2db8a.pdf,03_RLHF-and-Limitations/Dynamic_Planning_in_Open-Ended_Dialogue_using_Reinforcement_Learning_58e2db8a.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Poisoning_Attacks_on_LLMs_Require_a_Near-constant_Number_of_Poison_Samples_553833a1.pdf,03_RLHF-and-Limitations/Poisoning_Attacks_on_LLMs_Require_a_Near-constant_Number_of_Poison_Samples_553833a1.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Scaling_Laws_for_Neural_Language_Models_Jared_Kaplan_Sam_McCandlish_751878a7.pdf,03_RLHF-and-Limitations/Scaling_Laws_for_Neural_Language_Models_Jared_Kaplan_Sam_McCandlish_751878a7.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Structured_Transparency_a_framework_for_addressing_usemis-use_trade-offs_when_sharing_info_3db12b42.pdf,03_RLHF-and-Limitations/Structured_Transparency_a_framework_for_addressing_usemis-use_trade-offs_when_sharing_info_3db12b42.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Scalable_agent_alignment_via_reward_modeling_a_research_direction_Jan_Leike_c8980056.pdf,03_RLHF-and-Limitations/Scalable_agent_alignment_via_reward_modeling_a_research_direction_Jan_Leike_c8980056.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Jason_Matheny_-_Profile_8006f865.md,03_RLHF-and-Limitations/Jason_Matheny_-_Profile_8006f865.md,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Future_of_AI_Course_BlueDot_Impact_100477de.md,15_Educational/Future_of_AI_Course_BlueDot_Impact_100477de.md,source_type=educational
AI Risk Mitigation/United_States_Armed_Forces_-_Wikipedia_f075ee33.md,03_RLHF-and-Limitations/United_States_Armed_Forces_-_Wikipedia_f075ee33.md,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Learning_to_summarize_with_human_feedback_f59a43c5.md,03_RLHF-and-Limitations/Learning_to_summarize_with_human_feedback_f59a43c5.md,concept=RLHF
AI Risk Mitigation/Anthropicâs_Interpretability_Research_7ff6253f.md,14_Interpretability/Anthropicâs_Interpretability_Research_7ff6253f.md,interpretability tag
AI Risk Mitigation/Cookie_Policy_1d4cbca5.md,03_RLHF-and-Limitations/Cookie_Policy_1d4cbca5.md,concept=RLHF
AI Risk Mitigation/Four_Asian_Tigers_-_Wikipedia_0a522b8a.md,03_RLHF-and-Limitations/Four_Asian_Tigers_-_Wikipedia_0a522b8a.md,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/AI_Alignment_dbe0a694.md,15_Educational/AI_Alignment_dbe0a694.md,source_type=educational
AI Risk Mitigation/Reinforcement_Learning_for_Bandit_Neural_Machine_Translation_1e6edf40.pdf,03_RLHF-and-Limitations/Reinforcement_Learning_for_Bandit_Neural_Machine_Translation_1e6edf40.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Cybench_A_Framework_FOR_Evaluating_Cyber_SECURITY_Capabilities_AND_Risks_OF_Language_412dea06.pdf,11c_Cyber-Bio-Benchmarks/Cybench_A_Framework_FOR_Evaluating_Cyber_SECURITY_Capabilities_AND_Risks_OF_Language_412dea06.pdf,benchmark filename=Cybench
AI Risk Mitigation/A small number of samples can poison LLMs of any size.md,03_RLHF-and-Limitations/A small number of samples can poison LLMs of any size.md,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Prioritized_Training_on_Points_that_are_Learnable_Worth_Learning_and_not_yet_Learnt_fbf9225e.md,05_Scalable-Oversight/Prioritized_Training_on_Points_that_are_Learnable_Worth_Learning_and_not_yet_Learnt_fbf9225e.md,concept=Scalable Oversight
AI Risk Mitigation/Debate_Helps_Supervise_Unreliable_Experts_Julian_Michael1_Jackson_Petty1_30bea640.pdf,03_RLHF-and-Limitations/Debate_Helps_Supervise_Unreliable_Experts_Julian_Michael1_Jackson_Petty1_30bea640.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/A_Mathematical_Framework_for_Transformer_Circuits_928c3b5b.md,14_Interpretability/A_Mathematical_Framework_for_Transformer_Circuits_928c3b5b.md,interpretability tag
AI Risk Mitigation/Tree_of_Thoughts_Deliberate_Problem_Solving_with_Large_Language_Models_fa045610.pdf,03_RLHF-and-Limitations/Tree_of_Thoughts_Deliberate_Problem_Solving_with_Large_Language_Models_fa045610.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Predicting_Emergent_Capabilities_by_Finetuning_Charlie_Snell_Eric_Wallace_85d08627.pdf,03_RLHF-and-Limitations/Predicting_Emergent_Capabilities_by_Finetuning_Charlie_Snell_Eric_Wallace_85d08627.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/AI_Alignment_9c5918bf.md,15_Educational/AI_Alignment_9c5918bf.md,source_type=educational
AI Risk Mitigation/What_is_AI_alignment_c1a9b2f0.md,15_Educational/What_is_AI_alignment_c1a9b2f0.md,source_type=educational
AI Risk Mitigation/Philanthropically_Supported_Research_1363e6e2.md,03_RLHF-and-Limitations/Philanthropically_Supported_Research_1363e6e2.md,concept=RLHF
AI Risk Mitigation/Getting_Closer_to_AI_Complete_Question_Answering_A_Set_of_Prerequisite_Real_Tasks_d03c202c.md,10_Pretraining-Filtering-and-Unlearning/Getting_Closer_to_AI_Complete_Question_Answering_A_Set_of_Prerequisite_Real_Tasks_d03c202c.md,concept=Pretraining Filtering
AI Risk Mitigation/Without_Fundamental_Advances_Misalignment_And_Catastrophe_b497a748.md,03_RLHF-and-Limitations/Without_Fundamental_Advances_Misalignment_And_Catastrophe_b497a748.md,concept=RLHF
AI Risk Mitigation/2024-9-4_The_AI_Scientist_Towards_Fully_Automated_305680d1.pdf,03_RLHF-and-Limitations/2024-9-4_The_AI_Scientist_Towards_Fully_Automated_305680d1.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Sortition_-_Wikipedia_38461114.md,16_Governance-and-Policy/Sortition_-_Wikipedia_38461114.md,governance tag
AI Risk Mitigation/Location_Verification_for_AI_Chips_Institute_for_AI_Policy_and_Strategy_de9e0639.md,03_RLHF-and-Limitations/Location_Verification_for_AI_Chips_Institute_for_AI_Policy_and_Strategy_de9e0639.md,concept=RLHF
AI Risk Mitigation/QuRating_Selecting_High-Quality_Data_for_Training_Language_Models_9e5ce05f.pdf,03_RLHF-and-Limitations/QuRating_Selecting_High-Quality_Data_for_Training_Language_Models_9e5ce05f.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Why_AI_alignment_could_be_hard_with_modern_deep_learning_fadf7c15.md,05_Scalable-Oversight/Why_AI_alignment_could_be_hard_with_modern_deep_learning_fadf7c15.md,concept=Scalable Oversight
AI Risk Mitigation/Easy-to-Hard_Generalization_9511b543.pdf,03_RLHF-and-Limitations/Easy-to-Hard_Generalization_9511b543.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/What_do_coherence_arguments_imply_about_the_behavior_of_advanced_AI_284a99f9.md,03_RLHF-and-Limitations/What_do_coherence_arguments_imply_about_the_behavior_of_advanced_AI_284a99f9.md,concept=RLHF
AI Risk Mitigation/RAND_RRA2849-1_62681a1f.pdf,03_RLHF-and-Limitations/RAND_RRA2849-1_62681a1f.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/cs188-fa24-lec25_70157e44.pdf,03_RLHF-and-Limitations/cs188-fa24-lec25_70157e44.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Can_a_Suit_of_Armor_Conduct_Electricity_A_New_Dataset_for_Open_Book_Question_Answering_7524201f.pdf,03_RLHF-and-Limitations/Can_a_Suit_of_Armor_Conduct_Electricity_A_New_Dataset_for_Open_Book_Question_Answering_7524201f.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Agentic_Misalignment_Appendix_8d445219.pdf,08_Agentic-Misalignment-and-Control/Agentic_Misalignment_Appendix_8d445219.pdf,concept=Agentic Misalignment
AI Risk Mitigation/Unlearning_Bias_in_Language_Models_by_Partitioning_Gradients_148b0a55.md,10_Pretraining-Filtering-and-Unlearning/Unlearning_Bias_in_Language_Models_by_Partitioning_Gradients_148b0a55.md,concept=Pretraining Filtering
AI Risk Mitigation/PIQA_Reasoning_about_Physical_Commonsense_in_Natural_Language_ca63c0c7.pdf,11b_Capability-Benchmarks/PIQA_Reasoning_about_Physical_Commonsense_in_Natural_Language_ca63c0c7.pdf,benchmark filename=PIQA
AI Risk Mitigation/Deep_Ignorance_Filtering_Pretraining_DATA_Builds_TAMPER_-Resistant_Safeguards_086e6f46.pdf,03_RLHF-and-Limitations/Deep_Ignorance_Filtering_Pretraining_DATA_Builds_TAMPER_-Resistant_Safeguards_086e6f46.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/AI_Deception_A_Survey_of_Examples_Risks_and_Potential_Solutions_Peter_S._Park_440ef73c.pdf,03_RLHF-and-Limitations/AI_Deception_A_Survey_of_Examples_Risks_and_Potential_Solutions_Peter_S._Park_440ef73c.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/2024-7-15_On_scalable_oversight_with_weak_LLMs_judging_strong_LLMs_3c80510a.pdf,03_RLHF-and-Limitations/2024-7-15_On_scalable_oversight_with_weak_LLMs_judging_strong_LLMs_3c80510a.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Studying_Large_Language_Model_Generalization_with_Influence_Functions_e306821e.pdf,03_RLHF-and-Limitations/Studying_Large_Language_Model_Generalization_with_Influence_Functions_e306821e.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/LLM_StF_manuscript_d706908c.pdf,03_RLHF-and-Limitations/LLM_StF_manuscript_d706908c.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Artificial_intelligence_and_biological_misuse_Differentiating_risks_of_language_1d8ad22c.pdf,11c_Cyber-Bio-Benchmarks/Artificial_intelligence_and_biological_misuse_Differentiating_risks_of_language_1d8ad22c.pdf,benchmark filename=biological_misuse
AI Risk Mitigation/Sunset_At_Noon_56f53f26.md,03_RLHF-and-Limitations/Sunset_At_Noon_56f53f26.md,concept=RLHF
AI Risk Mitigation/Synthetic_virology_the_experts_speak_-_Nature_Biotechnology_bad50acf.md,03_RLHF-and-Limitations/Synthetic_virology_the_experts_speak_-_Nature_Biotechnology_bad50acf.md,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Scalable_AI_Safety_via_Doubly-Efficient_Debate_Jonah_Brown-Cohen_Google_DeepMind_071a04c8.pdf,03_RLHF-and-Limitations/Scalable_AI_Safety_via_Doubly-Efficient_Debate_Jonah_Brown-Cohen_Google_DeepMind_071a04c8.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/LESSWRONG_d0aef86c.md,05_Scalable-Oversight/LESSWRONG_d0aef86c.md,concept=Scalable Oversight
AI Risk Mitigation/Taken_out_of_context_On_measuring_situational_awareness_in_LLMs_7aa1d3a7.pdf,03_RLHF-and-Limitations/Taken_out_of_context_On_measuring_situational_awareness_in_LLMs_7aa1d3a7.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Knowledge_Unlearning_for_Mitigating_Privacy_Risks_in_Language_Models_69ee0583.md,10_Pretraining-Filtering-and-Unlearning/Knowledge_Unlearning_for_Mitigating_Privacy_Risks_in_Language_Models_69ee0583.md,concept=Pretraining Filtering
AI Risk Mitigation/A_Nactor_-Critic_Algorithm_FOR_Sequence_Prediction_9200daa4.pdf,03_RLHF-and-Limitations/A_Nactor_-Critic_Algorithm_FOR_Sequence_Prediction_9200daa4.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Question_Decomposition_Improves_the_Faithfulness_of_Model-Generated_Reasoning_87ec67be.pdf,03_RLHF-and-Limitations/Question_Decomposition_Improves_the_Faithfulness_of_Model-Generated_Reasoning_87ec67be.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Representation_Engineering_1df66dc4.pdf,14_Interpretability/Representation_Engineering_1df66dc4.pdf,interp filename=Representation_Engineering
AI Risk Mitigation/Introduction_to_Mechanistic_Interpretability_0aa60341.md,14_Interpretability/Introduction_to_Mechanistic_Interpretability_0aa60341.md,interp filename=Introduction_to_Mechanistic_Interpretability
AI Risk Mitigation/Technological_singularity_-_Wikipedia_cbb7a8a9.md,01_Existential-Risk/Technological_singularity_-_Wikipedia_cbb7a8a9.md,concept=Existential Risk
AI Risk Mitigation/Designing_a_Dashboard_for_Transparency_and_Control_of_Conversational_AI_47ee6bbe.pdf,14_Interpretability/Designing_a_Dashboard_for_Transparency_and_Control_of_Conversational_AI_47ee6bbe.pdf,interp filename=Designing_a_Dashboard_for_Transparency
AI Risk Mitigation/Future_of_AI_Course_BlueDot_Impact_a9f3387d.md,15_Educational/Future_of_AI_Course_BlueDot_Impact_a9f3387d.md,source_type=educational
AI Risk Mitigation/Principled_Instructions_Are_All_You_Need_for_Questioning_LLaMA-12_GPT-3.54_6611a090.pdf,03_RLHF-and-Limitations/Principled_Instructions_Are_All_You_Need_for_Questioning_LLaMA-12_GPT-3.54_6611a090.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/The_ICL_Consistency_Test_Lucas_Weber_University_Pompeu_Fabra_648b6065.pdf,11b_Capability-Benchmarks/The_ICL_Consistency_Test_Lucas_Weber_University_Pompeu_Fabra_648b6065.pdf,benchmark filename=ICL_Consistency_Test
AI Risk Mitigation/Approximating_KL_Divergence_e00e4e24.md,03_RLHF-and-Limitations/Approximating_KL_Divergence_e00e4e24.md,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Interpreting_THE_Second_-Order_Effects_OF_Neurons_IN_CLIP_8b5ca268.pdf,14_Interpretability/Interpreting_THE_Second_-Order_Effects_OF_Neurons_IN_CLIP_8b5ca268.pdf,interp filename=Interpreting_THE_Second
AI Risk Mitigation/HellaSwag_Can_a_Machine_Really_Finish_Your_Sentence_2afe6f6e.pdf,11b_Capability-Benchmarks/HellaSwag_Can_a_Machine_Really_Finish_Your_Sentence_2afe6f6e.pdf,benchmark filename=HellaSwag
AI Risk Mitigation/Harnessing_Diversity_FOR_Important_DATA_S_Election_IN_Pretraining_Large_Language_Mod_ELS_257d63fb.pdf,03_RLHF-and-Limitations/Harnessing_Diversity_FOR_Important_DATA_S_Election_IN_Pretraining_Large_Language_Mod_ELS_257d63fb.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/What_is_Recursive_Reward_Modelling_b2db8f27.md,03_RLHF-and-Limitations/What_is_Recursive_Reward_Modelling_b2db8f27.md,concept=RLHF
AI Risk Mitigation/Reward_Hacking_in_Reinforcement_Learning_d6a56447.md,03_RLHF-and-Limitations/Reward_Hacking_in_Reinforcement_Learning_d6a56447.md,concept=RLHF
AI Risk Mitigation/DeepSeek-V3_Technical_Report_761c102c.pdf,03_RLHF-and-Limitations/DeepSeek-V3_Technical_Report_761c102c.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Journal_of_Machine_Learning_Research_18_(2017)_1-46_Submitted_1216_Revised_1117_Published__8ed13555.pdf,03_RLHF-and-Limitations/Journal_of_Machine_Learning_Research_18_(2017)_1-46_Submitted_1216_Revised_1117_Published__8ed13555.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/koh17a_2e5028fb.pdf,03_RLHF-and-Limitations/koh17a_2e5028fb.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Quantifying_Language_Models_Sensitivity_TO_adae8624.pdf,11b_Capability-Benchmarks/Quantifying_Language_Models_Sensitivity_TO_adae8624.pdf,benchmark filename=Quantifying_Language_Models_Sensitivity
AI Risk Mitigation/LatentQA_Teaching_LLMs_to_Decode_Activations_Into_Natural_Language_10916ec8.pdf,14_Interpretability/LatentQA_Teaching_LLMs_to_Decode_Activations_Into_Natural_Language_10916ec8.pdf,interp filename=LatentQA
AI Risk Mitigation/Embedded_Agency_Full_Text_Version_9c90fe79.md,03_RLHF-and-Limitations/Embedded_Agency_Full_Text_Version_9c90fe79.md,concept=RLHF
AI Risk Mitigation/Language_Models_Dont_Always_Say_What_They_Think_8a8abdf7.pdf,03_RLHF-and-Limitations/Language_Models_Dont_Always_Say_What_They_Think_8a8abdf7.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/2024-8-7_1364358c.pdf,03_RLHF-and-Limitations/2024-8-7_1364358c.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/LESSWRONG_19a05258.md,03_RLHF-and-Limitations/LESSWRONG_19a05258.md,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Externality_-_Wikipedia_9530d9ad.md,03_RLHF-and-Limitations/Externality_-_Wikipedia_9530d9ad.md,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/The_Reality_of_AI_and_Biorisk_Aidan_Peppin_Cohere_For_AI_f578f0c5.pdf,11c_Cyber-Bio-Benchmarks/The_Reality_of_AI_and_Biorisk_Aidan_Peppin_Cohere_For_AI_f578f0c5.pdf,benchmark filename=Reality_of_AI_and_Biorisk
AI Risk Mitigation/Mitigating_harm_in_language_models_with_conditional-likelihood_filtration_e488f1c5.pdf,03_RLHF-and-Limitations/Mitigating_harm_in_language_models_with_conditional-likelihood_filtration_e488f1c5.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/On_the_Societal_Impact_of_Open_Foundation_Models_7f23fb5a.pdf,03_RLHF-and-Limitations/On_the_Societal_Impact_of_Open_Foundation_Models_7f23fb5a.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/The_U.S._Public_Wants_Regulation_or_Prohibition_of_ExpertLevel_and_Superhuman_AI_-_Future_of_Life_In_c40e1edd.md,05_Scalable-Oversight/The_U.S._Public_Wants_Regulation_or_Prohibition_of_ExpertLevel_and_Superhuman_AI_-_Future_of_Life_In_c40e1edd.md,concept=Scalable Oversight
AI Risk Mitigation/RAND_WRA3056-1_608d53e9.pdf,16_Governance-and-Policy/RAND_WRA3056-1_608d53e9.pdf,governance tag
AI Risk Mitigation/Reclaiming_the_Digital_Commons_A_Public_Data_Trust_for_Training_Data_db4893ea.pdf,03_RLHF-and-Limitations/Reclaiming_the_Digital_Commons_A_Public_Data_Trust_for_Training_Data_db4893ea.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/PAWS_Paraphrase_Adversaries_from_Word_Scrambling_Yuan_Zhang_935b435c.pdf,03_RLHF-and-Limitations/PAWS_Paraphrase_Adversaries_from_Word_Scrambling_Yuan_Zhang_935b435c.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Training_a_Helpful_and_Harmless_Assistant_with_Reinforcement_Learning_from_Human_Feedback_71c25fc9.pdf,03_RLHF-and-Limitations/Training_a_Helpful_and_Harmless_Assistant_with_Reinforcement_Learning_from_Human_Feedback_71c25fc9.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Highly_accurate_protein_structure_prediction_with_AlphaFold_-_Nature_a06e223c.md,02_AGI-Capability-and-Forecasting/Highly_accurate_protein_structure_prediction_with_AlphaFold_-_Nature_a06e223c.md,capability landmark filename=AlphaFold
AI Risk Mitigation/Towards_Guaranteed_Safe_AI_A_Framework_for_Ensuring_Robust_and_Reliable_AI_Systems_1d47e019.pdf,03_RLHF-and-Limitations/Towards_Guaranteed_Safe_AI_A_Framework_for_Ensuring_Robust_and_Reliable_AI_Systems_1d47e019.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/on_Machine_Learning_Research_(082022)_Emergent_Abilities_of_Large_Language_Models_be8be94b.pdf,11b_Capability-Benchmarks/on_Machine_Learning_Research_(082022)_Emergent_Abilities_of_Large_Language_Models_be8be94b.pdf,benchmark filename=Emergent_Abilities
AI Risk Mitigation/L_Ora_Low-Rank_Adaptation_OF_Large_Lan_GUAGE_Models_Edward_Hu_6e77126e.pdf,03_RLHF-and-Limitations/L_Ora_Low-Rank_Adaptation_OF_Large_Lan_GUAGE_Models_Edward_Hu_6e77126e.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Towards_Understanding_Sycophancy_in_Language_Models_26016be3.md,03_RLHF-and-Limitations/Towards_Understanding_Sycophancy_in_Language_Models_26016be3.md,concept=RLHF
AI Risk Mitigation/FrontierMath_A_Benchmark_for_Evaluating_Advanced_Mathematical_Reasoning_in_AI_efc4b605.pdf,11b_Capability-Benchmarks/FrontierMath_A_Benchmark_for_Evaluating_Advanced_Mathematical_Reasoning_in_AI_efc4b605.pdf,benchmark filename=FrontierMath
AI Risk Mitigation/AI-Facilitated-Biological-Weapon-Development-Website-Copy-1_71886173.pdf,11c_Cyber-Bio-Benchmarks/AI-Facilitated-Biological-Weapon-Development-Website-Copy-1_71886173.pdf,benchmark filename=Biological
AI Risk Mitigation/U.S._Pushes_for_Less_AI_Regulation_at_Paris_Summit_e783d383.md,03_RLHF-and-Limitations/U.S._Pushes_for_Less_AI_Regulation_at_Paris_Summit_e783d383.md,concept=RLHF
AI Risk Mitigation/LESSWRONG_3b7cdedf.md,03_RLHF-and-Limitations/LESSWRONG_3b7cdedf.md,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Visibility_into_AI_Agents_86dc27c5.pdf,03_RLHF-and-Limitations/Visibility_into_AI_Agents_86dc27c5.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Import_AI_a098b9cd.md,03_RLHF-and-Limitations/Import_AI_a098b9cd.md,concept=RLHF
AI Risk Mitigation/The_Bread_and_Butter_Problem_in_AI_Policy_b0ce0b11.md,05_Scalable-Oversight/The_Bread_and_Butter_Problem_in_AI_Policy_b0ce0b11.md,concept=Scalable Oversight
AI Risk Mitigation/The_Computational_Democracy_Project_f509dda6.md,03_RLHF-and-Limitations/The_Computational_Democracy_Project_f509dda6.md,concept=RLHF
AI Risk Mitigation/What_is_machine_unlearning_and_why_is_it_useful_989a904b.md,10_Pretraining-Filtering-and-Unlearning/What_is_machine_unlearning_and_why_is_it_useful_989a904b.md,concept=Pretraining Filtering
AI Risk Mitigation/MATES_Model-Aware_Data_Selection_for_Efficient_Pretraining_with_Data_Influence_Models_c9555aa1.pdf,03_RLHF-and-Limitations/MATES_Model-Aware_Data_Selection_for_Efficient_Pretraining_with_Data_Influence_Models_c9555aa1.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Improving_Alignment_and_Robustness_with_Circuit_Breakers_2e43aa7d.pdf,03_RLHF-and-Limitations/Improving_Alignment_and_Robustness_with_Circuit_Breakers_2e43aa7d.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/Testing_Language_Model_AGENTS_Safely_IN_THE_Wild_Silen_Naihin_7037b425.pdf,03_RLHF-and-Limitations/Testing_Language_Model_AGENTS_Safely_IN_THE_Wild_Silen_Naihin_7037b425.pdf,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/The_Art_of_the_Deal_-_Wikipedia_b79326db.md,03_RLHF-and-Limitations/The_Art_of_the_Deal_-_Wikipedia_b79326db.md,fallback by old folder (AI Risk Mitigation)
AI Risk Mitigation/BoolQ_Exploring_the_Surprising_Difficulty_of_Natural_YesNo_Questions_284120f6.pdf,11b_Capability-Benchmarks/BoolQ_Exploring_the_Surprising_Difficulty_of_Natural_YesNo_Questions_284120f6.pdf,benchmark filename=BoolQ
AI Risk Mitigation/Can_we_scale_human_feedback_for_complex_AI_tasks_An_intro_to_scalable_oversight._814aa54b.md,15_Educational/Can_we_scale_human_feedback_for_complex_AI_tasks_An_intro_to_scalable_oversight._814aa54b.md,source_type=educational
AI Risk Mitigation/Modifying_Memories_in_Transformer_Models_d5502e00.pdf,03_RLHF-and-Limitations/Modifying_Memories_in_Transformer_Models_d5502e00.pdf,fallback by old folder (AI Risk Mitigation)
