action,ai_score,confidence,filename,moved,new_folder,old_folder,risk_category,source_type,tags,wiki_concepts
applied,3,low,U.S._Commerce_Secretary_Gina_Raimondo_Announces_Expansion_of_U.S._AI_Safety_Institute_Leadership_Tea_ead0c98f.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations|Existential Risk & Superintelligence
applied,6,medium,U.S._Pushes_for_Less_AI_Regulation_at_Paris_Summit_e783d383.md,yes,AI Risk Mitigation,AI Safety,misuse,blog_post,disinformation|governance|regulation|catastrophic-risk|Anthropic|OpenAI,RLHF & Its Limitations
applied,2,low,United_States_Armed_Forces_-_Wikipedia_f075ee33.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,Scalable Oversight
skip_no_ai_signal,1,low,United_States_government_role_in_civil_aviation_-_Wikipedia_56879b18.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,regulation,RLHF & Its Limitations
applied,10,medium,What_Is_DeepSeek_the_New_Chinese_OpenAI_Rival_8399055d.md,yes,Evaluation,AI Safety,misalignment,blog_post,OpenAI|Meta|open-source,RLHF & Its Limitations|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,2,low,What_do_coherence_arguments_imply_about_the_behavior_of_advanced_AI_284a99f9.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations
applied,12,high,What_is_AI_alignment_510ee1d0.md,yes,AI Risk Mitigation,AI Safety,misuse,educational,governance|existential-risk|AGI|catastrophic-risk|extinction|jailbreaking,Scalable Oversight|Existential Risk & Superintelligence
applied,12,high,What_is_AI_alignment_c1a9b2f0.md,yes,AI Risk Mitigation,AI Safety,misuse,educational,governance|existential-risk|AGI|catastrophic-risk|extinction|jailbreaking,Scalable Oversight|Existential Risk & Superintelligence
applied,8,high,What_is_faithful_chain-of-thought_reasoning_and_why_is_it_useful_for_AI_safety_4f1c4c90.md,yes,Evaluation,AI Safety,misalignment|mistakes,educational,deception|sandbagging|reward-hacking|chain-of-thought|Anthropic|OpenAI|interpretability,Alignment Faking & Scheming|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,6,high,What_is_supervised_fine-tuning_ea12b59d.md,yes,Evaluation,AI Safety,misalignment,educational,RLHF|superalignment|OpenAI,RLHF & Its Limitations|Weak-to-Strong Generalization|AI Evaluations & Benchmarks
applied,7,medium,What_is_the_alignment_problem_c4c79e06.md,yes,Evaluation,AI Safety,misalignment,blog_post,OpenAI|DeepMind,RLHF & Its Limitations|AI Evaluations & Benchmarks
applied,9,medium,What_normal_Americans_not_AI_companies_want_for_AI_ce23b483.md,yes,AI Risk Mitigation,AI Safety,misuse,blog_post,disinformation|governance|regulation|Anthropic|OpenAI,RLHF & Its Limitations|Existential Risk & Superintelligence
applied,2,low,Whole-genome_risk_prediction_of_common_diseases_in_human_preimplantation_embryos_-_Nature_Medicine_085889be.md,yes,Evaluation,AI Safety,misalignment,blog_post,,AI Evaluations & Benchmarks
applied,9,high,Why_AI_alignment_could_be_hard_with_modern_deep_learning_fadf7c15.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,sycophancy|x-risk|AGI,Scalable Oversight|Existential Risk & Superintelligence
applied,2,low,Why_Arms_Control_Is_So_Rare_American_Political_Science_Review_Cambridge_Core_ff5c046a.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,transparency,RLHF & Its Limitations
applied,9,medium,Why_Im_Leaving_OpenAI_and_What_Im_Doing_Next_42a87e0f.md,yes,Evaluation,AI Safety,misalignment,blog_post,red-teaming|model-card|governance|regulation|compute-governance|AGI|OpenAI,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,13,medium,Why_Im_optimistic_about_our_alignment_approach_3063882f.md,yes,Evaluation,AI Safety,misalignment,blog_post,RLHF|evaluations|AGI|multi-agent|OpenAI,RLHF & Its Limitations|Agentic Misalignment|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,9,high,Why_Would_AI_Aim_To_Defeat_Humanity_efd7b429.md,yes,AI Alignment,AI Safety,misalignment,blog_post,deception|x-risk|AGI,Alignment Faking & Scheming|Existential Risk & Superintelligence
applied,4,low,WikipediaManual_of_Style_-_Wikipedia_b6776631.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations|Scalable Oversight
applied,4,medium,Ω_34_67f38999.md,yes,Evaluation,AI Safety,misuse|misalignment,blog_post,sandbagging|chain-of-thought|open-weight,Alignment Faking & Scheming|AI Evaluations & Benchmarks
applied,12,medium,Ω_36_b7040c0e.md,yes,Model-level Mitigation,AI Safety,misalignment,blog_post,scheming|deception|deceptive-alignment|sleeper-agents|sycophancy|RLHF|RLAIF|chain-of-thought|catastrophic-risk|robustness,RLHF & Its Limitations|Constitutional AI (RLAIF)|Alignment Faking & Scheming|Existential Risk & Superintelligence
applied,18,low,Ω_3_f162cf38.md,yes,Evaluation,AI Safety,misalignment,blog_post,catastrophic-risk,AI Evaluations & Benchmarks
applied,8,medium,Ω_40_e075e628.md,yes,RSP,AI Safety,misalignment,blog_post,evaluations|RSP|OpenAI|adversarial,AI Evaluations & Benchmarks|Responsible Scaling Policies
applied,8,medium,Ω_55_79d493f9.md,yes,Evaluation,AI Safety,misuse,blog_post,evaluations|catastrophic-risk|jailbreaking,Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
